"solution","fe_degree","Points:0","Points:1","Points:2"
0.41516,5,-1,-1,0.41516
0.37393,5,-0.95,-1,0.37393
0.37393,5,-1,-0.95,0.37393
1.013,5,-0.95,-0.95,1.013
0.36556,5,-0.95,-1,0.36556
0.34933,5,-0.9,-1,0.34933
0.9775,5,-0.95,-0.95,0.9775
0.95561,5,-0.9,-0.95,0.95561
0.36556,5,-1,-0.95,0.36556
0.9775,5,-0.95,-0.95,0.9775
0.34933,5,-1,-0.9,0.34933
0.95561,5,-0.95,-0.9,0.95561
0.94377,5,-0.95,-0.95,0.94377
0.92394,5,-0.9,-0.95,0.92394
0.92394,5,-0.95,-0.9,0.92394
0.90535,5,-0.9,-0.9,0.90535
0.34952,5,-0.9,-1,0.34952
0.32749,5,-0.85,-1,0.32749
0.95476,5,-0.9,-0.95,0.95476
0.89489,5,-0.85,-0.95,0.89489
0.32749,5,-0.85,-1,0.32749
0.29736,5,-0.8,-1,0.29736
0.89487,5,-0.85,-0.95,0.89487
0.81253,5,-0.8,-0.95,0.81253
0.92308,5,-0.9,-0.95,0.92308
0.86521,5,-0.85,-0.95,0.86521
0.90451,5,-0.9,-0.9,0.90451
0.8478,5,-0.85,-0.9,0.8478
0.86519,5,-0.85,-0.95,0.86519
0.78558,5,-0.8,-0.95,0.78558
0.84778,5,-0.85,-0.9,0.84778
0.76978,5,-0.8,-0.9,0.76978
0.34952,5,-1,-0.9,0.34952
0.95476,5,-0.95,-0.9,0.95476
0.32749,5,-1,-0.85,0.32749
0.89489,5,-0.95,-0.85,0.89489
0.92308,5,-0.95,-0.9,0.92308
0.90451,5,-0.9,-0.9,0.90451
0.86521,5,-0.95,-0.85,0.86521
0.8478,5,-0.9,-0.85,0.8478
0.32749,5,-1,-0.85,0.32749
0.89487,5,-0.95,-0.85,0.89487
0.29736,5,-1,-0.8,0.29736
0.81253,5,-0.95,-0.8,0.81253
0.86519,5,-0.95,-0.85,0.86519
0.84778,5,-0.9,-0.85,0.84778
0.78558,5,-0.95,-0.8,0.78558
0.76978,5,-0.9,-0.8,0.76978
0.90367,5,-0.9,-0.9,0.90367
0.84702,5,-0.85,-0.9,0.84702
0.84702,5,-0.9,-0.85,0.84702
0.79391,5,-0.85,-0.85,0.79391
0.847,5,-0.85,-0.9,0.847
0.76907,5,-0.8,-0.9,0.76907
0.79389,5,-0.85,-0.85,0.79389
0.72085,5,-0.8,-0.85,0.72085
0.847,5,-0.9,-0.85,0.847
0.79389,5,-0.85,-0.85,0.79389
0.76907,5,-0.9,-0.8,0.76907
0.72085,5,-0.85,-0.8,0.72085
0.79387,5,-0.85,-0.85,0.79387
0.72083,5,-0.8,-0.85,0.72083
0.72083,5,-0.85,-0.8,0.72083
0.65451,5,-0.8,-0.8,0.65451
0.29736,5,-0.8,-1,0.29736
0.2599,5,-0.75,-1,0.2599
0.81253,5,-0.8,-0.95,0.81253
0.71018,5,-0.75,-0.95,0.71018
0.2599,5,-0.75,-1,0.2599
0.21604,5,-0.7,-1,0.21604
0.71018,5,-0.75,-0.95,0.71018
0.59034,5,-0.7,-0.95,0.59034
0.78558,5,-0.8,-0.95,0.78558
0.68662,5,-0.75,-0.95,0.68662
0.76978,5,-0.8,-0.9,0.76978
0.67281,5,-0.75,-0.9,0.67281
0.68662,5,-0.75,-0.95,0.68662
0.57076,5,-0.7,-0.95,0.57076
0.67281,5,-0.75,-0.9,0.67281
0.55927,5,-0.7,-0.9,0.55927
0.21604,5,-0.7,-1,0.21604
0.16687,5,-0.65,-1,0.16687
0.59034,5,-0.7,-0.95,0.59034
0.45596,5,-0.65,-0.95,0.45596
0.16687,5,-0.65,-1,0.16687
0.11358,5,-0.6,-1,0.11358
0.45596,5,-0.65,-0.95,0.45596
0.31036,5,-0.6,-0.95,0.31036
0.57076,5,-0.7,-0.95,0.57076
0.44084,5,-0.65,-0.95,0.44084
0.55927,5,-0.7,-0.9,0.55927
0.43197,5,-0.65,-0.9,0.43197
0.44084,5,-0.65,-0.95,0.44084
0.30007,5,-0.6,-0.95,0.30007
0.43197,5,-0.65,-0.9,0.43197
0.29403,5,-0.6,-0.9,0.29403
0.76907,5,-0.8,-0.9,0.76907
0.67219,5,-0.75,-0.9,0.67219
0.72085,5,-0.8,-0.85,0.72085
0.63004,5,-0.75,-0.85,0.63004
0.67219,5,-0.75,-0.9,0.67219
0.55876,5,-0.7,-0.9,0.55876
0.63004,5,-0.75,-0.85,0.63004
0.52373,5,-0.7,-0.85,0.52373
0.72083,5,-0.8,-0.85,0.72083
0.63003,5,-0.75,-0.85,0.63003
0.65451,5,-0.8,-0.8,0.65451
0.57206,5,-0.75,-0.8,0.57206
0.63003,5,-0.75,-0.85,0.63003
0.52371,5,-0.7,-0.85,0.52371
0.57206,5,-0.75,-0.8,0.57206
0.47553,5,-0.7,-0.8,0.47553
0.55876,5,-0.7,-0.9,0.55876
0.43157,5,-0.65,-0.9,0.43157
0.52373,5,-0.7,-0.85,0.52373
0.40451,5,-0.65,-0.85,0.40451
0.43157,5,-0.65,-0.9,0.43157
0.29376,5,-0.6,-0.9,0.29376
0.40451,5,-0.65,-0.85,0.40451
0.27534,5,-0.6,-0.85,0.27534
0.52371,5,-0.7,-0.85,0.52371
0.4045,5,-0.65,-0.85,0.4045
0.47553,5,-0.7,-0.8,0.47553
0.36729,5,-0.65,-0.8,0.36729
0.4045,5,-0.65,-0.85,0.4045
0.27533,5,-0.6,-0.85,0.27533
0.36729,5,-0.65,-0.8,0.36729
0.25,5,-0.6,-0.8,0.25
0.11358,5,-0.6,-1,0.11358
0.057498,5,-0.55,-1,0.057498
0.31036,5,-0.6,-0.95,0.31036
0.15711,5,-0.55,-0.95,0.15711
0.057498,5,-0.55,-1,0.057498
-1.1806e-09,5,-0.5,-1,-1.1806e-09
0.15711,5,-0.55,-0.95,0.15711
6.9117e-08,5,-0.5,-0.95,6.9117e-08
0.30007,5,-0.6,-0.95,0.30007
0.1519,5,-0.55,-0.95,0.1519
0.29403,5,-0.6,-0.9,0.29403
0.14885,5,-0.55,-0.9,0.14885
0.1519,5,-0.55,-0.95,0.1519
7.0857e-08,5,-0.5,-0.95,7.0857e-08
0.14885,5,-0.55,-0.9,0.14885
1.2578e-07,5,-0.5,-0.9,1.2578e-07
3.327e-10,5,-0.5,-1,3.327e-10
-0.057498,5,-0.45,-1,-0.057498
6.9269e-08,5,-0.5,-0.95,6.9269e-08
-0.15711,5,-0.45,-0.95,-0.15711
-0.057498,5,-0.45,-1,-0.057498
-0.11358,5,-0.4,-1,-0.11358
-0.15711,5,-0.45,-0.95,-0.15711
-0.31036,5,-0.4,-0.95,-0.31036
7.0198e-08,5,-0.5,-0.95,7.0198e-08
-0.1519,5,-0.45,-0.95,-0.1519
1.261e-07,5,-0.5,-0.9,1.261e-07
-0.14885,5,-0.45,-0.9,-0.14885
-0.1519,5,-0.45,-0.95,-0.1519
-0.30007,5,-0.4,-0.95,-0.30007
-0.14885,5,-0.45,-0.9,-0.14885
-0.29403,5,-0.4,-0.9,-0.29403
0.29376,5,-0.6,-0.9,0.29376
0.14871,5,-0.55,-0.9,0.14871
0.27534,5,-0.6,-0.85,0.27534
0.13939,5,-0.55,-0.85,0.13939
0.14871,5,-0.55,-0.9,0.14871
1.2557e-07,5,-0.5,-0.9,1.2557e-07
0.13939,5,-0.55,-0.85,0.13939
2.2301e-07,5,-0.5,-0.85,2.2301e-07
0.27533,5,-0.6,-0.85,0.27533
0.13938,5,-0.55,-0.85,0.13938
0.25,5,-0.6,-0.8,0.25
0.12656,5,-0.55,-0.8,0.12656
0.13938,5,-0.55,-0.85,0.13938
2.2395e-07,5,-0.5,-0.85,2.2395e-07
0.12656,5,-0.55,-0.8,0.12656
3.0767e-07,5,-0.5,-0.8,3.0767e-07
1.2566e-07,5,-0.5,-0.9,1.2566e-07
-0.14871,5,-0.45,-0.9,-0.14871
2.2539e-07,5,-0.5,-0.85,2.2539e-07
-0.13939,5,-0.45,-0.85,-0.13939
-0.14871,5,-0.45,-0.9,-0.14871
-0.29376,5,-0.4,-0.9,-0.29376
-0.13939,5,-0.45,-0.85,-0.13939
-0.27534,5,-0.4,-0.85,-0.27534
2.2263e-07,5,-0.5,-0.85,2.2263e-07
-0.13938,5,-0.45,-0.85,-0.13938
3.0605e-07,5,-0.5,-0.8,3.0605e-07
-0.12656,5,-0.45,-0.8,-0.12656
-0.13938,5,-0.45,-0.85,-0.13938
-0.27533,5,-0.4,-0.85,-0.27533
-0.12656,5,-0.45,-0.8,-0.12656
-0.25,5,-0.4,-0.8,-0.25
-0.11358,5,-0.4,-1,-0.11358
-0.16687,5,-0.35,-1,-0.16687
-0.31036,5,-0.4,-0.95,-0.31036
-0.45596,5,-0.35,-0.95,-0.45596
-0.16687,5,-0.35,-1,-0.16687
-0.21604,5,-0.3,-1,-0.21604
-0.45596,5,-0.35,-0.95,-0.45596
-0.59034,5,-0.3,-0.95,-0.59034
-0.30007,5,-0.4,-0.95,-0.30007
-0.44084,5,-0.35,-0.95,-0.44084
-0.29403,5,-0.4,-0.9,-0.29403
-0.43197,5,-0.35,-0.9,-0.43197
-0.44084,5,-0.35,-0.95,-0.44084
-0.57076,5,-0.3,-0.95,-0.57076
-0.43197,5,-0.35,-0.9,-0.43197
-0.55927,5,-0.3,-0.9,-0.55927
-0.21604,5,-0.3,-1,-0.21604
-0.2599,5,-0.25,-1,-0.2599
-0.59034,5,-0.3,-0.95,-0.59034
-0.71018,5,-0.25,-0.95,-0.71018
-0.2599,5,-0.25,-1,-0.2599
-0.29736,5,-0.2,-1,-0.29736
-0.71018,5,-0.25,-0.95,-0.71018
-0.81253,5,-0.2,-0.95,-0.81253
-0.57076,5,-0.3,-0.95,-0.57076
-0.68662,5,-0.25,-0.95,-0.68662
-0.55927,5,-0.3,-0.9,-0.55927
-0.67281,5,-0.25,-0.9,-0.67281
-0.68662,5,-0.25,-0.95,-0.68662
-0.78558,5,-0.2,-0.95,-0.78558
-0.67281,5,-0.25,-0.9,-0.67281
-0.76978,5,-0.2,-0.9,-0.76978
-0.29376,5,-0.4,-0.9,-0.29376
-0.43157,5,-0.35,-0.9,-0.43157
-0.27534,5,-0.4,-0.85,-0.27534
-0.40451,5,-0.35,-0.85,-0.40451
-0.43157,5,-0.35,-0.9,-0.43157
-0.55876,5,-0.3,-0.9,-0.55876
-0.40451,5,-0.35,-0.85,-0.40451
-0.52373,5,-0.3,-0.85,-0.52373
-0.27533,5,-0.4,-0.85,-0.27533
-0.4045,5,-0.35,-0.85,-0.4045
-0.25,5,-0.4,-0.8,-0.25
-0.36729,5,-0.35,-0.8,-0.36729
-0.4045,5,-0.35,-0.85,-0.4045
-0.52371,5,-0.3,-0.85,-0.52371
-0.36729,5,-0.35,-0.8,-0.36729
-0.47553,5,-0.3,-0.8,-0.47553
-0.55876,5,-0.3,-0.9,-0.55876
-0.67219,5,-0.25,-0.9,-0.67219
-0.52373,5,-0.3,-0.85,-0.52373
-0.63004,5,-0.25,-0.85,-0.63004
-0.67219,5,-0.25,-0.9,-0.67219
-0.76907,5,-0.2,-0.9,-0.76907
-0.63004,5,-0.25,-0.85,-0.63004
-0.72085,5,-0.2,-0.85,-0.72085
-0.52371,5,-0.3,-0.85,-0.52371
-0.63003,5,-0.25,-0.85,-0.63003
-0.47553,5,-0.3,-0.8,-0.47553
-0.57206,5,-0.25,-0.8,-0.57206
-0.63003,5,-0.25,-0.85,-0.63003
-0.72083,5,-0.2,-0.85,-0.72083
-0.57206,5,-0.25,-0.8,-0.57206
-0.65451,5,-0.2,-0.8,-0.65451
-0.29736,5,-0.2,-1,-0.29736
-0.32749,5,-0.15,-1,-0.32749
-0.81253,5,-0.2,-0.95,-0.81253
-0.89488,5,-0.15,-0.95,-0.89488
-0.32749,5,-0.15,-1,-0.32749
-0.34956,5,-0.1,-1,-0.34956
-0.89488,5,-0.15,-0.95,-0.89488
-0.95519,5,-0.1,-0.95,-0.95519
-0.78558,5,-0.2,-0.95,-0.78558
-0.8652,5,-0.15,-0.95,-0.8652
-0.76978,5,-0.2,-0.9,-0.76978
